#67	Pinus brutia	12.9	8.23	0	9.65	3.98	0.75	0			0	0.75		-1
68	Pinus brutia	12	15	0	19.49	7.48	1.95	3.35	0.15	1.45	0.8	3.056	20	-1
69	Pinus brutia	9.75	14.6	0	24.46	9.17	2.14	5.975	0.3	1.4	0.85	3.546	20	-1
70	Pinus brutia	10.7	16.35	0	23.69	8.86	2.07	4.65	0.15	2.2	1.175	4.107	30	-1
71	Pinus brutia	17.3	23.85	0	12.93	5.69	1.32	2.325	0.4	0.55	0.475	3.942	60	-1
72	Pinus brutia	15.5	25.4	0	19.9	6.44	1.8	4.075	0.15	1.45	0.8	2.728	20	-1
73	Pinus brutia	13.75	26.7	0	10.19	3.74	1.13	2.125	0.1	1.3	0.7	2.957	70	-1
74	Pinus brutia	17.15	30.35	0	20.54	7.2	1.91	3.275	0.1	0.2	0.15	5.613	70	-1
75	Pinus brutia	12.1	29.9	0	15	5.66	1.61	3.125	1.05	2.05	1.55	4.04	60	-1
76	Pinus brutia	10.36	29.9	0	14.55	5.98	1.47	3.575	0.2	0.9	0.55	5.3035	85	-1
77	Pinus brutia	8.6	31.36	0	19.59	6.33	1.18	2.775	0.1	0.35	0.225	4.785	70	-1
78	Pinus brutia	13.85	33.5	0	24.43	8.4	2.23	5.25	0.6	1.55	1.075	4.698	40	-1
79	Pinus brutia	13.05	36.25	0	24.81	7.95	2.14	6.15	0.1	0.8	0.45	5.626	60	-1
80	Pinus brutia	0.1	38.6	0	18.73	7.25	2.03	3.975	0.45	1.4	0.925	6.728	90	-1
81	Pinus brutia	1.6	37.4	0	12.71	6.75	1.99	2.675	2.3	2.3	2.3	5.798	80	-1
82	Pinus brutia	2.95	36.07	0	9.84	3.99	1.54	2.35	1.1	1.4	1.25	3.745	90	-1
83	Pinus brutia	3.2	32.6	0	26.94	9.74	2.15	6.4	0.25	1.5	0.875	4.427	30	-1
84	Pinus brutia	2.9	32.45	0	25.03	9.96	2.31	0	0.5	1.25	0.875	3.84	20	-1
#85	Pinus brutia	0	25.26	0	24.59	7.12	2.09	5.525	unknown	unknown	#VALEUR!	6.114	80	-1
86	Pinus brutia	0.6	18.35	0	14.01	5.38	1.84	3.075	0	0	0	4.318	70	-1
87	Pinus brutia	2	17.6	0	16.46	5.66	1.87	3.625	0	0.55	0.275	4.523	70	-1
88	Pinus brutia	6.25	22	0	24.55	8.26	1.77	7.2	0	1.35	0.675	5.664	60	-1
89	Pinus brutia	8	18.8	0	14.27	6.39	2.22	3.625	0.1	1	0.55	5.3475	75	-1
90	Pinus brutia	3.6	15.8	0	17.71	6.49	1.78	4.275	0	0.7	0.35	5.548	80	-1
91	Pinus brutia	7.25	13	0	18.03	8.3	1.88	3.25	0.3	1.7	1	3.164	20	-1
92	Pinus brutia	6.9	10.2	0	26.97	6.85	1.68	5.425	0	1.2	0.6	3.748	40	-1
93	Pinus brutia	0	10.44	0	21.15	6.53	1.57	4.125	0.2	1.1	0.65	3.554	40	-1
94	Pinus brutia	1.58	8.88	0	14.84	7.71	1.57	3.075	0.1	1.05	0.575	5.254	60	-1
95	Pinus brutia	3.2	7.5	0	13.63	7.02	1.51	2.475	0.15	0.65	0.4	4.265	50	-1
96	Pinus brutia	5.15	6	0	22.04	7.69	1.68	4.125	0.45	1.6	1.025	3.483	30	-1
97	Pinus brutia	0	3.29	0	15.89	6.45	1.31	3.675	0.35	1.7	1.025	2.595	25	-1
98	Pinus brutia	1.5	2.2	0	12.17	5.5	1.24	2.825	0.25	0.8	0.525	2.092	20	-1
99	Pinus brutia	7.05	4.36	0	17.2	6	1.74	3.125	0.4	1.8	1.1	2.805	25	-1
100	Pinus brutia	8.6	2.9	0	12.26	5.78	1.48	2.425	0.3	0.85	0.575	1.91	10	-1
101	Pinus brutia	10.5	1.4	0	14.71	5.71	1.44	3.175	0.3	1.6	0.95	2.294	20	-1
