#id	diameter	volume
algan19	70	7.6
algan19	75	8.8
algan19	80	10.1
algan19	85	11.5
algan19	90	13
algan19	95	14.6
algan19	100	16.2
algan20	5	0.017
algan20	10	0.086
algan20	15	0.219
algan20	20	0.4
algan20	25	0.7
algan20	30	1.1
algan20	35	1.6
algan20	40	2.2
algan20	45	2.8
algan20	50	3.6
algan20	55	4.5
algan20	60	5.6
algan20	65	6.7
algan20	70	7.9
algan20	75	9.2
algan20	80	10.5
algan20	85	12
algan20	90	13.5
algan20	95	15.1
algan20	100	16.8
prenovel1953	5	0.009
prenovel1953	10	0.05
prenovel1953	15	0.131
prenovel1953	20	0.2
prenovel1953	25	0.5
prenovel1953	30	0.7
prenovel1953	35	1.1
prenovel1953	40	1.4
prenovel1953	45	1.8
prenovel1953	50	2.4
prenovel1953	55	3
prenovel1953	60	3.7
prenovel1953	65	4.6
prenovel1953	70	5.4
prenovel1953	75	6.3
prenovel1953	80	7.2
prenovel1953	85	8.4
prenovel1953	90	9.8
prenovel1953	95	11.2
prenovel1953	100	12.6
prenovel1953	105	13.8
prenovel1953	110	15.1
prenovel1953	115	16.3
prenovel1953	120	17.6
prenovel1953	125	18.9
prenovel1992	5	0.01
prenovel1992	10	0.051
prenovel1992	15	0.13
prenovel1992	20	0.2
prenovel1992	25	0.4
prenovel1992	30	0.7
prenovel1992	35	1
prenovel1992	40	1.4
prenovel1992	45	1.8
prenovel1992	50	2.3
prenovel1992	55	2.8
prenovel1992	60	3.4
prenovel1992	65	4
prenovel1992	70	4.6
prenovel1992	75	5.4
prenovel1992	80	6.2
prenovel1992	85	7
prenovel1992	90	8
prenovel1992	95	9
prenovel1992	100	10.1
prenovel1992	105	11.4
prenovel1992	110	12.7
prenovel1992	115	14.2
schaeffer01	5	0.004
schaeffer01	10	0.022
schaeffer01	15	0.058
schaeffer01	20	0.1
schaeffer01	25	0.2
schaeffer01	30	0.3
schaeffer01	35	0.5
schaeffer01	40	0.7
schaeffer01	45	0.9
schaeffer01	50	1.2
schaeffer01	55	1.4
schaeffer01	60	1.8
schaeffer01	65	2.1
schaeffer01	70	2.5
schaeffer01	75	2.9
schaeffer01	80	3.4
schaeffer01	85	3.9
schaeffer01	90	4.4
schaeffer01	95	4.9
schaeffer01	100	5.5
schaeffer02	5	0.004
schaeffer02	10	0.023
schaeffer02	15	0.062
schaeffer02	20	0.1
schaeffer02	25	0.2
schaeffer02	30	0.4
schaeffer02	35	0.5
schaeffer02	40	0.8
schaeffer02	45	1
schaeffer02	50	1.3
schaeffer02	55	1.6
schaeffer02	60	2
schaeffer02	65	2.4
schaeffer02	70	2.8
schaeffer02	75	3.3
schaeffer02	80	3.8
schaeffer02	85	4.3
schaeffer02	90	4.9
schaeffer02	95	5.5
schaeffer02	100	6.1
schaeffer03	5	0.004
schaeffer03	10	0.022
schaeffer03	15	0.062
schaeffer03	20	0.1
schaeffer03	25	0.2
schaeffer03	30	0.4
schaeffer03	35	0.6
schaeffer03	40	0.8
schaeffer03	45	1.1
schaeffer03	50	1.4
schaeffer03	55	1.8
schaeffer03	60	2.2
schaeffer03	65	2.6
schaeffer03	70	3.1
schaeffer03	75	3.6
schaeffer03	80	4.1
schaeffer03	85	4.7
schaeffer03	90	5.3
schaeffer03	95	6
schaeffer03	100	6.7
schaeffer04	5	0.004
schaeffer04	10	0.025
schaeffer04	15	0.07
schaeffer04	20	0.1
schaeffer04	25	0.3
schaeffer04	30	0.4
schaeffer04	35	0.6
schaeffer04	40	0.9
schaeffer04	45	1.2
schaeffer04	50	1.5
schaeffer04	55	1.9
schaeffer04	60	2.4
schaeffer04	65	2.8
schaeffer04	70	3.3
schaeffer04	75	3.9
schaeffer04	80	4.5
schaeffer04	85	5.1
schaeffer04	90	5.8
schaeffer04	95	6.6
schaeffer04	100	7.3
schaeffer05	5	0.005
schaeffer05	10	0.027
schaeffer05	15	0.076
schaeffer05	20	0.1
schaeffer05	25	0.3
schaeffer05	30	0.5
schaeffer05	35	0.7
schaeffer05	40	1
schaeffer05	45	1.3
schaeffer05	50	1.7
schaeffer05	55	2.1
schaeffer05	60	2.6
schaeffer05	65	3.1
schaeffer05	70	3.6
schaeffer05	75	4.2
schaeffer05	80	4.9
schaeffer05	85	5.6
schaeffer05	90	6.3
schaeffer05	95	7.1
schaeffer05	100	7.9
schaeffer06	5	0.008
schaeffer06	10	0.039
schaeffer06	15	0.101
schaeffer06	20	0.2
schaeffer06	25	0.3
schaeffer06	30	0.5
schaeffer06	35	0.8
schaeffer06	40	1.1
schaeffer06	45	1.4
schaeffer06	50	1.8
schaeffer06	55	2.3
schaeffer06	60	2.8
schaeffer06	65	3.3
schaeffer06	70	3.9
schaeffer06	75	4.6
schaeffer06	80	5.3
schaeffer06	85	6
schaeffer06	90	6.8
schaeffer06	95	7.7
schaeffer06	100	8.6
schaeffer07	5	0.007
schaeffer07	10	0.037
schaeffer07	15	0.099
schaeffer07	20	0.2
schaeffer07	25	0.3
schaeffer07	30	0.5
schaeffer07	35	0.8
schaeffer07	40	1.1
schaeffer07	45	1.5
schaeffer07	50	1.9
schaeffer07	55	2.4
schaeffer07	60	2.9
schaeffer07	65	3.5
schaeffer07	70	4.2
schaeffer07	75	4.9
schaeffer07	80	5.6
schaeffer07	85	6.4
schaeffer07	90	7.3
schaeffer07	95	8.2
schaeffer07	100	9.2
schaeffer08	5	0.007
schaeffer08	10	0.039
schaeffer08	15	0.105
schaeffer08	20	0.2
schaeffer08	25	0.3
schaeffer08	30	0.6
schaeffer08	35	0.9
schaeffer08	40	1.2
schaeffer08	45	1.6
schaeffer08	50	2.1
schaeffer08	55	2.6
schaeffer08	60	3.1
schaeffer08	65	3.8
schaeffer08	70	4.5
schaeffer08	75	5.2
schaeffer08	80	6
schaeffer08	85	6.9
schaeffer08	90	7.8
schaeffer08	95	8.7
schaeffer08	100	9.8
schaeffer09	5	0.008
schaeffer09	10	0.043
schaeffer09	15	0.114
schaeffer09	20	0.2
schaeffer09	25	0.4
schaeffer09	30	0.6
schaeffer09	35	0.9
schaeffer09	40	1.3
schaeffer09	45	1.7
schaeffer09	50	2.2
schaeffer09	55	2.7
schaeffer09	60	3.3
schaeffer09	65	4
schaeffer09	70	4.7
schaeffer09	75	5.5
schaeffer09	80	6.4
schaeffer09	85	7.3
schaeffer09	90	8.3
schaeffer09	95	9.3
schaeffer09	100	10.4
schaeffer10	5	0.008
schaeffer10	10	0.043
schaeffer10	15	0.116
schaeffer10	20	0.2
schaeffer10	25	0.4
schaeffer10	30	0.6
schaeffer10	35	1
schaeffer10	40	1.4
schaeffer10	45	1.8
schaeffer10	50	2.3
schaeffer10	55	2.9
schaeffer10	60	3.5
schaeffer10	65	4.2
schaeffer10	70	5
schaeffer10	75	5.9
schaeffer10	80	6.8
schaeffer10	85	7.7
schaeffer10	90	8.7
schaeffer10	95	9.8
schaeffer10	100	11
schaeffer11	5	0.008
schaeffer11	10	0.044
schaeffer11	15	0.119
schaeffer11	20	0.2
schaeffer11	25	0.4
schaeffer11	30	0.7
schaeffer11	35	1
schaeffer11	40	1.4
schaeffer11	45	1.9
schaeffer11	50	2.4
schaeffer11	55	3.1
schaeffer11	60	3.7
schaeffer11	65	4.5
schaeffer11	70	5.3
schaeffer11	75	6.2
schaeffer11	80	7.1
schaeffer11	85	8.1
schaeffer11	90	9.2
schaeffer11	95	10.4
schaeffer11	100	11.6
schaeffer12	5	0.008
schaeffer12	10	0.044
schaeffer12	15	0.12
schaeffer12	20	0.2
schaeffer12	25	0.4
schaeffer12	30	0.7
schaeffer12	35	1.1
schaeffer12	40	1.5
schaeffer12	45	2
schaeffer12	50	2.6
schaeffer12	55	3.2
schaeffer12	60	3.9
schaeffer12	65	4.7
schaeffer12	70	5.6
schaeffer12	75	6.5
schaeffer12	80	7.5
schaeffer12	85	8.6
schaeffer12	90	9.7
schaeffer12	95	10.9
schaeffer12	100	12.2
schaeffer13	5	0.009
schaeffer13	10	0.049
schaeffer13	15	0.133
schaeffer13	20	0.2
schaeffer13	25	0.5
schaeffer13	30	0.8
schaeffer13	35	1.1
schaeffer13	40	1.6
schaeffer13	45	2.1
schaeffer13	50	2.7
schaeffer13	55	3.4
schaeffer13	60	4.1
schaeffer13	65	5
schaeffer13	70	5.9
schaeffer13	75	6.8
schaeffer13	80	7.9
schaeffer13	85	9
schaeffer13	90	10.2
schaeffer13	95	11.5
schaeffer13	100	12.8
schaeffer14	5	0.009
schaeffer14	10	0.049
schaeffer14	15	0.134
schaeffer14	20	0.2
schaeffer14	25	0.5
schaeffer14	30	0.8
schaeffer14	35	1.2
schaeffer14	40	1.7
schaeffer14	45	2.2
schaeffer14	50	2.8
schaeffer14	55	3.5
schaeffer14	60	4.3
schaeffer14	65	5.2
schaeffer14	70	6.1
schaeffer14	75	7.2
schaeffer14	80	8.3
schaeffer14	85	9.4
schaeffer14	90	10.7
schaeffer14	95	12
schaeffer14	100	13.4
schaeffer15	5	0.008
schaeffer15	10	0.048
schaeffer15	15	0.132
schaeffer15	20	0.2
schaeffer15	25	0.5
schaeffer15	30	0.8
schaeffer15	35	1.2
schaeffer15	40	1.7
schaeffer15	45	2.3
schaeffer15	50	3
schaeffer15	55	3.7
schaeffer15	60	4.5
schaeffer15	65	5.4
schaeffer15	70	6.4
schaeffer15	75	7.5
schaeffer15	80	8.6
schaeffer15	85	9.9
schaeffer15	90	11.2
schaeffer15	95	12.6
schaeffer15	100	14
schaeffer16	5	0.012
schaeffer16	10	0.061
schaeffer16	15	0.162
schaeffer16	20	0.3
schaeffer16	25	0.5
schaeffer16	30	0.9
schaeffer16	35	1.3
schaeffer16	40	1.8
schaeffer16	45	2.4
schaeffer16	50	3.1
schaeffer16	55	3.9
schaeffer16	60	4.7
schaeffer16	65	5.7
schaeffer16	70	6.7
schaeffer16	75	7.8
schaeffer16	80	9
schaeffer16	85	10.3
schaeffer16	90	11.7
schaeffer16	95	13.1
schaeffer16	100	14.7
schaeffer17	5	0.011
schaeffer17	10	0.06
schaeffer17	15	0.161
schaeffer17	20	0.3
schaeffer17	25	0.5
schaeffer17	30	0.9
schaeffer17	35	1.3
schaeffer17	40	1.9
schaeffer17	45	2.5
schaeffer17	50	3.2
schaeffer17	55	4
schaeffer17	60	4.9
schaeffer17	65	5.9
schaeffer17	70	7
schaeffer17	75	8.1
schaeffer17	80	9.4
schaeffer17	85	10.7
schaeffer17	90	12.1
schaeffer17	95	13.7
schaeffer17	100	15.3
schaeffer18	5	0.012
schaeffer18	10	0.065
schaeffer18	15	0.173
schaeffer18	20	0.3
schaeffer18	25	0.6
schaeffer18	30	0.9
schaeffer18	35	1.4
schaeffer18	40	2
schaeffer18	45	2.6
schaeffer18	50	3.3
schaeffer18	55	4.2
schaeffer18	60	5.1
schaeffer18	65	6.1
schaeffer18	70	7.2
schaeffer18	75	8.5
schaeffer18	80	9.8
schaeffer18	85	11.1
schaeffer18	90	12.6
schaeffer18	95	14.2
schaeffer18	100	15.9
schaeffer19	5	0.012
schaeffer19	10	0.065
schaeffer19	15	0.175
schaeffer19	20	0.3
schaeffer19	25	0.6
schaeffer19	30	1
schaeffer19	35	1.4
schaeffer19	40	2
schaeffer19	45	2.7
schaeffer19	50	3.5
schaeffer19	55	4.3
schaeffer19	60	5.3
schaeffer19	65	6.4
schaeffer19	70	7.5
schaeffer19	75	8.8
schaeffer19	80	10.1
schaeffer19	85	11.6
schaeffer19	90	13.1
schaeffer19	95	14.8
schaeffer19	100	16.5
schaeffer20	5	0.012
schaeffer20	10	0.066
schaeffer20	15	0.177
schaeffer20	20	0.3
schaeffer20	25	0.6
schaeffer20	30	1
schaeffer20	35	1.5
schaeffer20	40	2.1
schaeffer20	45	2.8
schaeffer20	50	3.6
schaeffer20	55	4.5
schaeffer20	60	5.5
schaeffer20	65	6.6
schaeffer20	70	7.8
schaeffer20	75	9.1
schaeffer20	80	10.5
schaeffer20	85	12
schaeffer20	90	13.6
schaeffer20	95	15.3
schaeffer20	100	17.1
slovenia28	7.5	0.02
slovenia28	12.5	0.05
slovenia28	17.5	0.15
slovenia28	22.5	0.3
slovenia28	27.5	0.51
slovenia28	32.5	0.76
slovenia28	37.5	1.06
slovenia28	42.5	1.42
slovenia28	47.5	1.82
slovenia28	52.5	2.28
slovenia28	57.5	2.78
slovenia28	62.5	3.34
slovenia28	67.5	3.95
slovenia28	72.5	4.61
slovenia28	77.5	5.32
slovenia28	82.5	6.08
slovenia28	87.5	6.88
slovenia28	92.5	7.75
slovenia28	97.5	8.66
slovenia30	7.5	0.023
slovenia30	12.5	0.06
slovenia30	17.5	0.17
slovenia30	22.5	0.34
slovenia30	27.5	0.56
slovenia30	32.5	0.84
slovenia30	37.5	1.18
slovenia30	42.5	1.57
slovenia30	47.5	2.01
slovenia30	52.5	2.52
slovenia30	57.5	3.08
slovenia30	62.5	3.69
slovenia30	67.5	4.37
slovenia30	72.5	5.09
slovenia30	77.5	5.88
slovenia30	82.5	6.72
slovenia30	87.5	7.61
slovenia30	92.5	8.56
slovenia30	97.5	9.57
slovenia31	7.5	0.024
slovenia31	12.5	0.06
slovenia31	17.5	0.18
slovenia31	22.5	0.35
slovenia31	27.5	0.59
slovenia31	32.5	0.88
slovenia31	37.5	1.24
slovenia31	42.5	1.65
slovenia31	47.5	2.12
slovenia31	52.5	2.65
slovenia31	57.5	3.24
slovenia31	62.5	3.89
slovenia31	67.5	4.59
slovenia31	72.5	5.36
slovenia31	77.5	6.18
slovenia31	82.5	7.07
slovenia31	87.5	8
slovenia31	92.5	9.01
slovenia31	97.5	9.93
slovenia32	7.5	0.024
slovenia32	12.5	0.06
slovenia32	17.5	0.19
slovenia32	22.5	0.37
slovenia32	27.5	0.62
slovenia32	32.5	0.93
slovenia32	37.5	1.3
slovenia32	42.5	1.73
slovenia32	47.5	2.23
slovenia32	52.5	2.78
slovenia32	57.5	3.4
slovenia32	62.5	4.08
slovenia32	67.5	4.82
slovenia32	72.5	5.64
slovenia32	77.5	6.49
slovenia32	82.5	7.42
slovenia32	87.5	8.41
slovenia32	92.5	9.46
slovenia32	97.5	10.58
slovenia33	7.5	0.025
slovenia33	12.5	0.06
slovenia33	17.5	0.2
slovenia33	22.5	0.39
slovenia33	27.5	0.65
slovenia33	32.5	0.98
slovenia33	37.5	1.37
slovenia33	42.5	1.82
slovenia33	47.5	2.34
slovenia33	52.5	2.93
slovenia33	57.5	3.58
slovenia33	62.5	4.3
slovenia33	67.5	5.07
slovenia33	72.5	5.93
slovenia33	77.5	6.83
slovenia33	82.5	7.81
slovenia33	87.5	8.85
slovenia33	92.5	9.97
slovenia33	97.5	11.12
slovenia34	7.5	0.027
slovenia34	12.5	0.07
slovenia34	17.5	0.21
slovenia34	22.5	0.41
slovenia34	27.5	0.68
slovenia34	32.5	1.03
slovenia34	37.5	1.44
slovenia34	42.5	1.91
slovenia34	47.5	2.46
slovenia34	52.5	3.08
slovenia34	57.5	3.76
slovenia34	62.5	4.51
slovenia34	67.5	5.33
slovenia34	72.5	6.22
slovenia34	77.5	7.18
slovenia34	82.5	8.2
slovenia34	87.5	9.3
slovenia34	92.5	10.46
slovenia34	97.5	11.69
slovenia46	7.5	0.029
slovenia46	12.5	0.08
slovenia46	17.5	0.18
slovenia46	22.5	0.32
slovenia46	27.5	0.5
slovenia46	32.5	0.73
slovenia46	37.5	0.99
slovenia46	42.5	1.3
slovenia46	47.5	1.64
slovenia46	52.5	2.03
slovenia46	57.5	2.46
slovenia46	62.5	2.93
slovenia46	67.5	3.44
slovenia46	72.5	3.99
slovenia46	77.5	4.58
slovenia46	82.5	5.21
slovenia46	87.5	5.88
slovenia46	92.5	6.59
slovenia46	97.5	7.34
slovenia48	7.5	0.03
slovenia48	12.5	0.08
slovenia48	17.5	0.2
slovenia48	22.5	0.35
slovenia48	27.5	0.56
slovenia48	32.5	0.8
slovenia48	37.5	1.1
slovenia48	42.5	1.43
slovenia48	47.5	1.82
slovenia48	52.5	2.24
slovenia48	57.5	2.72
slovenia48	62.5	3.24
slovenia48	67.5	3.8
slovenia48	72.5	4.41
slovenia48	77.5	5.06
slovenia48	82.5	5.76
slovenia48	87.5	6.5
slovenia48	92.5	7.29
slovenia48	97.5	8.12
slovenia49	7.5	0.033
slovenia49	12.5	0.09
slovenia49	17.5	0.21
slovenia49	22.5	0.37
slovenia49	27.5	0.59
slovenia49	32.5	0.85
slovenia49	37.5	1.15
slovenia49	42.5	1.51
slovenia49	47.5	1.91
slovenia49	52.5	2.36
slovenia49	57.5	2.86
slovenia49	62.5	3.41
slovenia49	67.5	4
slovenia49	72.5	4.64
slovenia49	77.5	5.32
slovenia49	82.5	6.06
slovenia49	87.5	6.84
slovenia49	92.5	7.67
slovenia49	97.5	8.55
slovenia50	7.5	0.034
slovenia50	12.5	0.09
slovenia50	17.5	0.22
slovenia50	22.5	0.39
slovenia50	27.5	0.62
slovenia50	32.5	0.89
slovenia50	37.5	1.21
slovenia50	42.5	1.59
slovenia50	47.5	2.01
slovenia50	52.5	2.48
slovenia50	57.5	3
slovenia50	62.5	3.58
slovenia50	67.5	4.2
slovenia50	72.5	4.87
slovenia50	77.5	5.59
slovenia50	82.5	6.36
slovenia50	87.5	7.18
slovenia50	92.5	8.05
slovenia50	97.5	8.97
aussurucq1	5	0.03
aussurucq1	10	0.109
aussurucq1	15	0.231
aussurucq1	20	0.3
aussurucq1	25	0.6
aussurucq1	30	0.9
aussurucq1	35	1.2
aussurucq1	40	1.6
aussurucq1	45	2
aussurucq1	50	2.4
aussurucq1	55	2.8
aussurucq1	60	3.2
aussurucq1	65	3.6
aussurucq1	70	4.1
aussurucq1	75	4.6
aussurucq1	80	5.1
aussurucq1	85	5.6
aussurucq1	90	6.1
aussurucq1	95	6.7
aussurucq1	100	7.4
