"xloc","yloc","species","dbh","ht","crwdth","cratio","crownwt0","crownwt1","crownwt2","crownwt3"
36.23,53.33,"PSME",12.36,80.63,18.46,60,46.89,33.2,69.55,29.97
46.22,18.68,"PSME",13.08,91.12,17.85,46,51.31,36.32,76.55,37.07
42.82,39.8,"PSME",13.08,91.12,17.85,46,51.31,36.32,76.55,37.07
50.92,43.54,"PSME",13.08,91.12,17.85,46,51.31,36.32,76.55,37.07
36.91,23.15,"PSME",13.28,87.99,18.24,49,52.54,37.19,78.48,39.17
5.619,0.5952,"PSME",13.28,87.99,18.24,49,52.54,37.19,78.48,39.17
6.359,33.12,"PSME",10.95,83.06,16.11,45,38.53,27.33,56.25,18.66
1.722,25.08,"PSME",13.05,94.21,17.55,43,51.13,36.19,76.26,36.76
37.99,17.41,"PSME",13.05,94.21,17.55,43,51.13,36.19,76.26,36.76
31.99,28.93,"PSME",13.91,88.6,18.35,46,56.52,40.01,84.72,46.41
26.42,53.11,"PIPO",7.797,83.79,11,60,8.666,3.488,24.26,21.99
52.94,40.6,"PIPO",9.009,113.6,11.94,64,40.83,4.864,47.23,27.67
27.77,62.64,"PIPO",11.77,100.7,14.66,68,72.26,7.381,92.74,64.3
3.896,32.93,"PIPO",6.174,92.86,9.172,56,6.638,2.795,14.43,10.4
14.76,21.67,"ABGR",24.21,113.5,27.61,69,216.3,75.9,249.7,315.8
29.62,22.15,"ABGR",24.21,113.5,27.61,69,216.3,75.9,249.7,315.8
11.11,49.83,"ABGR",24.21,113.5,27.61,69,216.3,75.9,249.7,315.8
53.12,38.68,"ABGR",25.32,115.5,28.29,70,227.9,78.93,259.4,355.9
35.38,46.7,"ABGR",20.46,110.1,25.46,66,177.3,65.91,210.5,200.7
13.66,50.64,"ABGR",21.91,110,26.23,67,192.5,69.74,226.8,241.8
129.6,147.9,"PSME",22.04,125.1,21.33,31,145.1,80.83,158.4,200.5
100.6,116.1,"ABGR",25.34,126.4,29.65,80,228.1,78.99,259.6,356.7
182.2,14.27,"PICO",15.02,104.3,11.93,18,39.43,34.66,42.26,36.8
140.1,16.38,"PSME",25.67,120.4,24.43,39,184.5,104.4,197.3,336.9
194.1,33.26,"PSME",25.67,120.4,24.43,39,184.5,104.4,197.3,336.9
138.9,48.33,"PICO",16.03,108.8,12.61,19,46.08,41.31,49.89,48.58
155.6,82.07,"PSME",20.77,122.2,20.11,28,131.7,73.08,144,163.8
206.2,142,"PIPO",14.14,134.4,15.03,46,54.35,6.025,86.62,68.16
197.6,117.8,"PIPO",14.14,134.4,15.03,46,54.35,6.025,86.62,68.16
167,105.7,"PIPO",14.14,134.4,15.03,46,54.35,6.025,86.62,68.16
148.6,117.2,"PIPO",14.71,124.4,15.68,48,61.73,6.477,98.67,80.41
188.3,132.3,"PIPO",14.71,124.4,15.68,48,61.73,6.477,98.67,80.41
158,106.2,"PIPO",10.71,121,12.29,41,28.51,4,41.55,25.98
146.6,106.7,"PIPO",15.1,129.9,15.89,48,64.31,6.612,104.1,86.9
148.4,122.8,"PIPO",15.1,129.9,15.89,48,64.31,6.612,104.1,86.9
142.7,143.2,"PIPO",15.1,129.9,15.89,48,64.31,6.612,104.1,86.9
161.8,118.6,"PIPO",10.8,126.1,12.31,41,28.95,4.044,42.36,26.66
172.9,128.1,"PIEN",10.39,61.35,13.28,66,63.42,37.06,41.4,19.02
135.3,106,"PIEN",10.39,61.35,13.28,66,63.42,37.06,41.4,19.02
138.5,118.3,"PIEN",10.39,61.35,13.28,66,63.42,37.06,41.4,19.02
151.6,117.6,"PIEN",10.39,61.35,13.28,66,63.42,37.06,41.4,19.02
190.8,140.5,"PIEN",8.456,57.58,11.88,63,47.46,26.71,27.49,10.03
145.8,108.1,"PIEN",8.936,56.1,12.38,68,51.35,29.17,30.67,11.91
199,132.3,"PIEN",10.83,61.68,13.77,71,67.09,39.54,44.94,21.59
152.1,105,"PIEN",19.74,94.76,18.09,60,140.1,99.69,152.2,132.4
150.6,135.4,"PIEN",19.74,94.76,18.09,60,140.1,99.69,152.2,132.4
152.3,140.9,"PIEN",19.74,94.76,18.09,60,140.1,99.69,152.2,132.4
194.3,152.1,"PIEN",20.04,91.63,18.31,62,142.4,102,157,138.5
157.2,130.7,"PIEN",18.51,88.91,17.61,62,130.7,90.45,133.4,109.1
152.4,145.2,"PIEN",16.98,92.54,16.77,59,118.5,79.34,111.8,84.18
185.7,137.2,"PIEN",12.52,87.13,11.07,18,81.33,49.58,60.09,33.54
183.3,142.7,"PIEN",12.52,87.13,11.07,18,81.33,49.58,60.09,33.54
173.3,113.5,"PIEN",12.52,87.13,11.07,18,81.33,49.58,60.09,33.54
184.1,133.3,"PIEN",12.52,87.13,11.07,18,81.33,49.58,60.09,33.54
136.9,138,"PIEN",13,87.67,11.13,17,85.39,52.57,64.85,37.59
170.7,124,"PIEN",13,87.67,11.13,17,85.39,52.57,64.85,37.59
183.4,155.1,"PIEN",13,87.67,11.13,17,85.39,52.57,64.85,37.59
151.4,129.7,"PIEN",11.89,88.49,10.68,17,76.01,45.75,54.17,28.68
150.8,112.3,"PIEN",11.89,88.49,10.68,17,76.01,45.75,54.17,28.68
175.4,153.9,"PIEN",12.9,88.45,11.38,19,84.57,51.96,63.87,36.75
189.1,119.6,"PIEN",12.9,88.45,11.38,19,84.57,51.96,63.87,36.75
204.9,154.4,"PIEN",11.38,83.64,10.43,17,71.69,42.72,49.6,25.09
133.9,162.2,"ABGR",26.19,118.6,28.46,66,236.8,81.3,266.2,388.9
170.3,132,"PIEN",10.93,53.62,13.92,76,67.95,40.13,45.8,22.22
